RXCUI,TenThuoc
47628,tricalcium phosphate
47633,calcium stearate
47686,carbamide peroxide
47858,methsuximide
47907,cetalkonium chloride
48203,clavulanate
48937,dexmedetomidine
49247,dofetilide
49276,doxazosin
49737,esmolol
50166,fosinopril
50610,goserelin
50975,histrelin
51272,quetiapine
51428,"insulin aspart, human"
51499,irinotecan
52105,lithium citrate
52151,lodoxamide
52175,losartan
52177,loteprednol etabonate
52356,magnesium citrate
52358,magnesium gluconate
52364,magnesium salicylate
52403,manganese gluconate
52582,mesalamine
52769,milrinone
52885,monofluorophosphate
53553,nattokinase
53654,nevirapine
53750,nonoxynol-9
54034,octoxynol-9
54365,pamabrom
54552,perindopril
54987,potassium acetate
54993,potassium citrate
55018,dibasic potassium phosphate
55672,rifabutin
55685,risedronic acid
56443,sodium acetate
56466,sodium citrate
56476,sodium gluconate
56512,sodium polystyrene sulfonate
56513,sodium propionate
56524,sodium tartrate
56795,sufentanil
56946,paclitaxel
57048,terlipressin
57258,tizanidine
57308,topotecan
58295,zinc acetate
58300,zinc gluconate
58301,zinc picolinate
58939,collagenase
59078,metaxalone
59087,Eucalyptus oil
59203,potassium chlorate
59308,chromium picolinate
59763,stavudine
59839,penciclovir
59943,imiquimod
60207,dorzolamide
60212,atovaquone
60223,adapalene
60307,entacapone
60548,exenatide
60819,bivalirudin
61148,somatropin
61381,olanzapine
61805,nitisinone
62130,cresol
62349,ethacrynate
62372,hyaluronate
62400,pantothenate
62427,ursodeoxycholate
66887,racepinephrine
67108,enoxaparin
67109,dalteparin
67257,myrrh extract
68091,dolasetron
68092,lanreotide
68099,famciclovir
68139,rocuronium
68147,cetrorelix
68149,mycophenolate mofetil
68244,lamivudine
68442,filgrastim
68446,pemetrexed
68503,ziconotide
68730,milbemycin oxime
68905,borage oil
69036,rufinamide
69120,tiotropium
69256,marbofloxacin
69440,policosanol
69627,tea tree oil
69634,sargramostim
69722,zanamivir
69749,valsartan
70223,aldesleukin
70561,palonosetron
70589,benzoate
70602,glutamate
70603,glycolate
70611,linoleate
70619,phenylacetate
71535,vecuronium
72031,pyruvate
72143,raloxifene
72236,fosphenytoin
72257,interferon beta-1b
72302,ropinirole
72385,wheat germ oil
72435,anakinra
72625,duloxetine
72937,tolcapone
72962,docetaxel
72965,letrozole
73032,remifentanil
73044,repaglinide
73056,risedronate
73137,tirofiban
73178,iloperidone
73455,doramectin
73494,telmisartan
73645,valacyclovir
73689,febuxostat
73710,paricalcitol
73891,black currant oil
74667,zaleplon
75207,bosentan
75635,eptifibatide
75917,interferon beta-1a
76895,reteplase
77492,tamsulosin
77655,zoledronic acid
81647,phenylbutyrate
81782,shark cartilage extract
81864,alitretinoin
82003,docusate
82088,Plantago seed
82122,levofloxacin
82242,chlorophyllin copper complex
82819,acamprosate
83008,bicalutamide
83171,cidofovir
83367,atorvastatin
83586,lufenuron
83818,irbesartan
83947,tazarotene
84108,rosiglitazone
84857,anastrozole
84959,imiglucerase
84990,gadobutrol
85248,alosetron
85762,ritonavir
86009,insulin lispro
87636,fexofenadine
88014,rizatriptan
88249,montelukast
89013,aripiprazole
89552,phenoxyethanol
89698,gamboge
89717,thymol iodide
89722,phenylmercuric nitrate
89778,ecothiopate
89781,"belladonna extract, USP"
89785,methscopolamine
89821,witch hazel
89886,"rabies immune globulin, human"
89887,Latrodectus mactans antivenin
89903,potassium gluconate
90176,iron
90249,natural graphite
90945,rosemary oil
90950,thyme oil
91263,aloe extract
91266,rhubarb preparation
91311,diflorasone
91327,octisalate
91472,shark liver oil
100213,Bifidobacterium infantis
100272,Lactobacillus delbrueckii subsp. bulgaricus
100278,Lacticaseibacillus rhamnosus
104125,bran
104129,ispaghula husk
105669,polysaccharide iron complex
105694,epoetin alfa
106212,calamine
107771,demecarium
108088,alclometasone
108118,mometasone
114202,lactate
114203,feverfew extract
114477,levetiracetam
114934,desirudin
114970,zafirlukast
114979,rabeprazole
115238,becaplermin
115264,ibandronate
115698,ziprasidone
117055,alemtuzumab
118886,verteporfin
119565,tolterodine
120608,peginterferon alfa-2a
121191,rituximab
121243,voriconazole
124150,dandelion extract
124323,grapefruit extract
125918,fennel seed preparation
125921,ginger root
125929,bilberry extract
132889,levonordefrin
134527,nelfinavir
134547,bendamustine
134568,bentoquatam
134615,brimonidine
134748,rasagiline
135391,olopatadine
135447,donepezil
135775,zolmitriptan
136034,ferrous lactate
136198,darifenacin
136411,sildenafil
